state,year,cases
Johor,2014,6323
Johor,2015,15743
Johor,2016,10641
Johor,2017,7932
Johor,2018,5885
Johor,2019,10873
Johor,2020,11622
Johor,2021,1775
Johor,2023,10794
Kedah,2014,1014
Kedah,2015,1000
Kedah,2016,994
Kedah,2017,1430
Kedah,2018,2190
Kedah,2019,1587
Kedah,2020,780
Kedah,2021,644
Kedah,2023,5207
Kelantan,2014,14456
Kelantan,2015,2850
Kelantan,2016,6180
Kelantan,2017,2515
Kelantan,2018,1950
Kelantan,2019,6003
Kelantan,2020,3889
Kelantan,2021,223
Kelantan,2023,2790
Melaka,2014,2770
Melaka,2015,2420
Melaka,2016,2299
Melaka,2017,1425
Melaka,2018,722
Melaka,2019,2156
Melaka,2020,2843
Melaka,2021,611
Melaka,2023,1221
Negeri Sembilan,2014,3781
Negeri Sembilan,2015,2454
Negeri Sembilan,2016,2879
Negeri Sembilan,2017,3055
Negeri Sembilan,2018,1864
Negeri Sembilan,2019,2305
Negeri Sembilan,2020,2891
Negeri Sembilan,2021,649
Negeri Sembilan,2023,5133
Pahang,2014,2170
Pahang,2015,3001
Pahang,2016,3050
Pahang,2017,1690
Pahang,2018,990
Pahang,2019,2873
Pahang,2020,3220
Pahang,2021,428
Pahang,2023,1609
Perak,2014,7525
Perak,2015,9466
Perak,2016,3777
Perak,2017,5411
Perak,2018,2736
Perak,2019,3226
Perak,2020,2665
Perak,2021,557
Perak,2023,4516
Perlis,2014,317
Perlis,2015,258
Perlis,2016,183
Perlis,2017,175
Perlis,2018,369
Perlis,2019,288
Perlis,2020,80
Perlis,2021,21
Perlis,2023,821
Pulau Pinang,2014,3141
Pulau Pinang,2015,5830
Pulau Pinang,2016,2576
Pulau Pinang,2017,2681
Pulau Pinang,2018,6071
Pulau Pinang,2019,4119
Pulau Pinang,2020,1043
Pulau Pinang,2021,406
Pulau Pinang,2023,7346
Sabah,2014,1456
Sabah,2015,2904
Sabah,2016,3668
Sabah,2017,2560
Sabah,2018,3423
Sabah,2019,5478
Sabah,2020,4078
Sabah,2021,1763
Sabah,2023,6983
Sarawak,2014,2571
Sarawak,2015,1923
Sarawak,2016,2773
Sarawak,2017,952
Sarawak,2018,823
Sarawak,2019,2648
Sarawak,2020,1516
Sarawak,2021,426
Sarawak,2023,1091
Selangor,2014,54290
Selangor,2015,63198
Selangor,2016,51652
Selangor,2017,45290
Selangor,2018,45349
Selangor,2019,72543
Selangor,2020,44635
Selangor,2021,15741
Selangor,2023,61080
Terengganu,2014,1688
Terengganu,2015,1455
Terengganu,2016,2009
Terengganu,2017,292
Terengganu,2018,550
Terengganu,2019,542
Terengganu,2020,404
Terengganu,2021,49
Terengganu,2023,277
W.P. Labuan,2014,11
W.P. Labuan,2015,2
W.P. Labuan,2016,13
W.P. Labuan,2017,91
W.P. Labuan,2018,102
W.P. Labuan,2019,36
W.P. Labuan,2020,7
W.P. Labuan,2021,5
W.P. Labuan,2023,59
WP Kuala Lumpur,2014,7185
WP Kuala Lumpur,2015,8332
WP Kuala Lumpur,2016,8663
WP Kuala Lumpur,2017,8350
WP Kuala Lumpur,2018,7591
WP Kuala Lumpur,2019,15424
WP Kuala Lumpur,2020,10631
WP Kuala Lumpur,2021,3067
WP Kuala Lumpur,2023,14206
