geo_name,state,inc_2014,inc_2015,inc_2016,inc_2017,inc_2018,inc_2019,inc_2020,inc_2021,inc_2023,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,cases_2020,cases_2021,cases_2023
Johor,Johor,177.6,436.1,291.4,214.6,157.0,289.1,289.8,44.2,262.8,6323,15743,10641,7932,5885,10873,11622,1775,10794
Kedah,Kedah,49.2,47.7,46.9,66.7,101.2,73.0,36.6,29.9,237.8,1014,1000,994,1430,2190,1587,780,644,5207
Kelantan,Kelantan,838.8,161.9,344.0,137.5,104.8,318.7,217.0,12.3,150.0,14456,2850,6180,2515,1950,6003,3889,223,2790
Malacca,Melaka,317.8,272.2,255.1,156.1,78.3,232.2,284.8,60.8,118.7,2770,2420,2299,1425,722,2156,2843,611,1221
Negeri Sembilan,Negeri Sembilan,350.2,225.4,261.9,274.2,166.0,204.7,240.9,53.9,419.1,3781,2454,2879,3055,1864,2305,2891,649,5133
Pahang,Pahang,136.3,186.6,187.5,102.6,59.5,171.9,202.4,26.7,97.9,2170,3001,3050,1690,990,2873,3220,428,1609
Perak,Perak,306.0,383.7,152.2,217.0,109.3,128.6,106.8,22.1,177.7,7525,9466,3777,5411,2736,3226,2665,557,4516
Perlis,Perlis,129.3,103.8,72.9,69.4,145.6,113.4,28.1,7.3,280.1,317,258,183,175,369,288,80,21,821
Penang,Pulau Pinang,187.2,343.3,150.0,153.7,344.4,232.9,59.9,23.3,414.4,3141,5830,2576,2681,6071,4119,1043,406,7346
Sabah,Sabah,39.7,78.1,96.5,66.4,87.8,140.3,119.3,51.7,194.2,1456,2904,3668,2560,3423,5478,4078,1763,6983
Sarawak,Sarawak,96.5,71.2,101.3,34.4,29.5,94.4,61.8,17.3,43.6,2571,1923,2773,952,823,2648,1516,426,1091
Selangor,Selangor,897.2,1023.0,821.0,709.8,700.4,1115.0,638.2,224.4,847.2,54290,63198,51652,45290,45349,72543,44635,15741,61080
Terengganu,Terengganu,148.0,125.3,169.8,24.2,44.8,43.6,35.1,4.2,22.9,1688,1455,2009,292,550,542,404,49,277
Labuan,W.P. Labuan,11.7,2.1,13.4,93.2,103.0,36.3,7.4,5.2,59.6,11,2,13,91,102,36,7,5,59
Kuala Lumpur,WP Kuala Lumpur,413.5,468.0,484.0,465.6,424.1,865.3,536.4,156.2,708.3,7185,8332,8663,8350,7591,15424,10631,3067,14206
